               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12907,            0.031616,                   0,            0.030319,                0.16,            0.013275,           0.0026815,             0.13205,            0.028015,                   0,                   0,                   0,                 0.1
                   1,             0.12453,            0.032008,                   0,            0.030527,                0.08,            0.011936,           0.0020632,              0.1318,            0.027439,                   0,           9.901e-05,           9.901e-05,            0.099099
                   2,              0.1248,            0.031179,                   0,            0.039814,                0.06,            0.010966,           0.0018807,             0.13005,            0.026295,                   0,          0.00019604,          0.00019604,            0.098196
                   3,             0.12138,            0.030776,                   0,            0.029297,             0.07968,           0.0085385,            0.001509,             0.12999,            0.026397,                   0,          0.00029109,          0.00029109,            0.097291
                   4,             0.12231,            0.029975,                   0,            0.042862,                 0.1,            0.011978,            0.001805,             0.12462,            0.025253,                   0,          0.00038416,          0.00038416,            0.096384
                   5,             0.11862,            0.028992,                   0,            0.037146,                0.08,            0.018058,           0.0026468,             0.11456,            0.023955,                   0,          0.00047525,          0.00047525,            0.095475
                   6,             0.10562,            0.030621,                   0,            0.038181,                0.18,            0.020438,           0.0032259,            0.093263,            0.022654,                   0,          0.00056436,          0.00056436,            0.094564
                   7,             0.10174,            0.029437,                   0,            0.057589,                0.12,            0.025692,           0.0042194,            0.082445,            0.021602,                   0,          0.00065149,          0.00065149,            0.093651
                   8,            0.095263,            0.030404,                   0,             0.13563,                0.14,            0.073399,            0.014411,            0.076431,            0.020819,                   0,          0.00073664,          0.00073664,            0.092737
                   9,             0.08936,            0.028832,                   0,             0.12766,                 0.2,             0.09715,            0.019852,            0.072835,            0.020011,                   0,          0.00081981,          0.00081981,             0.09182
                  10,            0.085986,             0.03072,                   0,             0.12627,                0.32,             0.11914,            0.031004,            0.068899,            0.019429,                   0,            0.000901,            0.000901,            0.090901
                  11,            0.082602,            0.029047,                   0,             0.29294,                0.26,             0.18507,            0.046893,            0.074785,             0.01906,                   0,          0.00098021,          0.00098021,             0.08998
                  12,            0.075609,            0.031043,                   0,              0.2576,                 0.4,             0.22893,            0.060087,             0.07687,            0.018399,                   0,           0.0010574,           0.0010574,            0.089057
                  13,            0.074796,            0.029071,                   0,             0.32663,             0.31055,             0.24044,             0.06955,            0.072493,            0.017977,                   0,           0.0011327,           0.0011327,            0.088133
                  14,            0.072627,            0.030594,                   0,             0.34809,                0.38,             0.29163,            0.088439,            0.071756,            0.017462,                   0,            0.001206,            0.001206,            0.087206
                  15,            0.072027,            0.031165,                   0,             0.39448,                0.32,             0.28756,            0.092753,            0.065758,            0.016784,                   0,           0.0012772,           0.0012772,            0.086277
                  16,            0.064698,            0.028669,                   0,             0.34767,                 0.4,             0.27984,            0.099068,            0.059839,            0.016457,                   0,           0.0013466,           0.0013466,            0.085347
