               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12403,            0.037676,                   0,           0.0055225,                 0.2,           0.0020954,          0.00033685,             0.12772,            0.031661,                   0,              0.0004,              0.0004,              0.0964
                   1,             0.12363,            0.039765,                   0,           0.0087458,                 0.2,           0.0027754,          0.00046832,             0.12445,               0.032,                   0,          0.00089703,          0.00089703,            0.091897
                   2,             0.12048,            0.040704,                   0,           0.0051585,                 0.1,           0.0025264,          0.00055154,             0.12187,             0.03233,                   0,           0.0013908,           0.0013908,            0.087391
                   3,             0.11674,            0.039972,                   0,            0.012999,                 0.2,           0.0054717,          0.00099142,             0.11371,            0.033151,                   0,           0.0018812,           0.0018812,            0.082881
                   4,             0.10965,            0.040278,                   0,            0.012707,                 0.2,           0.0045039,          0.00090112,             0.10554,            0.034184,                   0,           0.0023683,           0.0023683,            0.078368
                   5,             0.10837,            0.044032,                   0,            0.017974,                 0.2,           0.0056447,           0.0012263,             0.09842,            0.034976,                   0,           0.0028522,           0.0028522,            0.073852
                   6,             0.10611,            0.039023,                   0,            0.011828,                 0.1,           0.0032886,          0.00070617,            0.091582,            0.035687,                   0,           0.0033327,           0.0033327,            0.069333
                   7,             0.10606,            0.039856,                   0,            0.011828,                 0.1,           0.0032886,          0.00070617,            0.091582,            0.035687,                   0,           0.0038099,           0.0038099,             0.06481
                   8,             0.10088,             0.03648,                   0,            0.014872,                 0.2,           0.0062868,          0.00076496,            0.087261,            0.035816,                   0,           0.0042838,           0.0042838,            0.060284
                   9,            0.097715,            0.042091,                   0,            0.015807,                 0.6,            0.012098,           0.0035856,            0.086048,            0.034972,                   0,           0.0047545,           0.0047545,            0.055754
                  10,            0.094772,            0.044484,                   0,            0.015807,                 0.6,            0.012098,           0.0035856,            0.086048,            0.034972,                   0,           0.0052218,           0.0052218,            0.051222
                  11,            0.094521,            0.036586,                   0,             0.13322,                 0.1,            0.027222,           0.0042738,            0.087761,            0.033238,                   0,           0.0056858,           0.0056858,            0.046686
                  12,            0.088214,            0.039613,                   0,             0.13322,                 0.1,            0.027222,           0.0042738,            0.087761,            0.033238,                   0,           0.0061466,           0.0061466,            0.042147
                  13,             0.09031,            0.046835,                   0,             0.13322,                 0.1,            0.027222,           0.0042738,            0.087761,            0.033238,                   0,            0.006604,            0.006604,            0.037604
                  14,            0.093482,            0.036782,                   0,             0.32931,                 0.1,            0.056828,            0.016604,            0.085577,            0.032193,                   0,           0.0070581,           0.0070581,            0.033058
                  15,            0.089044,            0.035906,                   0,             0.32931,                 0.1,            0.056828,            0.016604,            0.085577,            0.032193,                   0,           0.0075089,           0.0075089,            0.028509
                  16,            0.091644,            0.044614,                   0,             0.32931,                 0.1,            0.056828,            0.016604,            0.085577,            0.032193,                   0,           0.0079565,           0.0079565,            0.023956
                  17,            0.087848,             0.04207,                   0,            0.072844,                 0.2,            0.034082,            0.010078,            0.087595,            0.030531,                   0,           0.0084007,           0.0084007,            0.019401
                  18,            0.086228,            0.036225,                   0,            0.072844,                 0.2,            0.034082,            0.010078,            0.087595,            0.030531,                   0,           0.0088416,           0.0088416,            0.014842
                  19,            0.091671,            0.036293,                   0,            0.072844,                 0.2,            0.034082,            0.010078,            0.087595,            0.030531,                   0,           0.0092793,           0.0092793,            0.010279
                  20,              0.0869,            0.038453,                   0,            0.020177,                 0.3,            0.011916,           0.0027107,            0.088764,            0.028904,                   0,             0.00934,             0.00934,             0.00934
                  21,            0.081221,            0.038794,                   0,            0.020177,                 0.3,            0.011916,           0.0027107,            0.088764,            0.028904,                   0,             0.00934,             0.00934,             0.00934
